频道名称组,频道简称,频道名称,分组,索引号
CCTV11|CCTV-11|CCTV11戏曲|CCTV-11戏曲|CCTV戏曲|CCTV-戏曲,CCTV11,CCTV-11戏曲,央视,1001100
CCTV12|CCTV-12|CCTV12社会与法|CCTV-12社会与法|CCTV社会与法|CCTV-社会与法,CCTV12,CCTV-12社会与法,央视,1001200
CCTV13|CCTV-13|CCTV13新闻|CCTV-13新闻|CCTV新闻|CCTV-新闻,CCTV13,CCTV-13新闻,央视,1001300
CCTV14|CCTV-14|CCTV14少儿|CCTV-14少儿|CCTV少儿|CCTV-少儿,CCTV14,CCTV-14少儿,央视,1001400
CCTV15|CCTV-15|CCTV15音乐|CCTV-15音乐|CCTV音乐|CCTV-音乐,CCTV15,CCTV-15音乐,央视,1001500
CCTV16|CCTV-16|CCTV16奥林匹克|CCTV-16奥林匹克|CCTV奥林匹克|CCTV-奥林匹克,CCTV16,CCTV-16奥林匹克,央视,1001600
CCTV17|CCTV-17|CCTV17农业农村|CCTV-17农业农村|CCTV农业农村|CCTV-农业农村,CCTV17,CCTV-17农业农村,央视,1001700
CCTV4K|CCTV-4K|CCTV4K50p|CCTVSDR|CCTV4KSDR|CCTV4K超高清,CCTV4KSDR,CCTV4KSDR,央视,1010100
CCTV164K|CCTV-16-4K|CCTV16奥林匹克4K|CCTV-16奥林匹克4K|CCTV奥林匹克4K|CCTV-奥林匹克4K|CCTV16SDR,CCTV16SDR,CCTV16SDR,央视,1011600
CCTV8K|CCTV-8K,CCTV8K,CCTV8K,央视,1020100
CHC高清电影,CHC高清电影,CHC高清电影,付费,1100100
CHC动作电影,CHC动作电影,CHC动作电影,付费,1100101
CHC家庭影院,CHC家庭影院,CHC家庭影院,付费,1100102
风云音乐|CCTV风云音乐,风云音乐,CCTV风云音乐,付费,1200200
世界地理|地理世界|CCTV世界地理,世界地理,CCTV世界地理,付费,1200201
第一剧场|CCTV第一剧场,第一剧场,CCTV第一剧场,付费,1200202
风云剧场|CCTV风云剧场,风云剧场,CCTV风云剧场,付费,1200203
央视精品|文化精品|CCTV央视精品|CCTV央视文化精品,央视精品,CCTV央视精品,付费,1200204
兵器科技|CCTV兵器科技,兵器科技,CCTV兵器科技,付费,1200205
风云足球|CCTV风云足球,风云足球,CCTV风云足球,付费,1200206
高网|高尔夫|高尔夫和网球|CCTV高网频道|CCTV高尔夫网球,高网频道,CCTV高网频道,付费,1200207
怀旧剧场|CCTV怀旧剧场,怀旧剧场,CCTV怀旧剧场,付费,1200208
女性时尚|CCTV女性时尚,女性时尚,CCTV女性时尚,付费,1200209
央视台球|CCTV央视台球,央视台球,CCTV央视台球,付费,1200210
电视指南|CCTV电视指南,电视指南,CCTV电视指南,付费,1200212
发现之旅,发现之旅,发现之旅,付费,1200300
老故事,老故事,老故事,付费,1200301
新科动漫,新科动漫,新科动漫,付费,1200303
优优宝贝,优优宝贝,优优宝贝,付费,1200304
证券资讯,证券资讯,证券资讯,付费,1200305
CGTN|CGTN英语|CGTN-英语,CGTN,CGTN英语,国际,1300100
CGTN Documentary|CGTN记录|CGTN-纪录|CGTN外语记录|CGTN外语纪录|CGTN英文纪录,CGTN纪录,CGTN纪录,国际,1300101
