# 20260626_1045_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
183.45.17.1:60022	无效	0	198
183.45.17.78:60022	无效	0	198
183.45.18.183:60022	无效	0	198
183.45.18.1:60022	无效	0	198
183.45.19.1:60022	无效	0	198
183.53.109.25:9090	无效	0	198
183.54.208.255:7005	无效	0	198
183.54.211.44:7005	无效	0	198
183.63.152.54:12346	无效	0	198
183.7.117.90:8088	无效	0	198
183.7.145.1:8886	无效	0	198
183.7.150.220:8333	无效	0	198
183.7.151.98:4000	无效	0	198
183.7.17.93:8888	无效	0	198
192.168.9.1:7088	无效	0	198
219.128.39.241:7788	无效	0	198
219.128.39.244:7788	无效	0	198
27.42.214.129:2222	无效	0	198
27.42.214.2:2222	无效	0	198
27.42.215.1:2222	无效	0	198
58.253.171.138:8188	无效	0	198
58.253.171.244:8188	无效	0	198
58.62.234.68:10000	无效	0	198
58.62.83.243:4111	无效	0	198
58.62.84.177:4022	无效	0	198
59.32.96.26:8000	无效	0	198
59.34.28.185:4022	无效	0	198
59.35.185.1:8188	无效	0	198
61.140.124.178:10022	无效	0	198
61.140.124.1:10022	无效	0	198
61.140.124.226:10022	无效	0	198
61.140.124.22:10022	无效	0	198
61.140.125.140:10022	无效	0	198
61.140.125.1:10022	无效	0	198
61.140.125.32:10022	无效	0	198
61.140.125.50:10022	无效	0	198
61.140.126.1:10022	无效	0	198
61.140.127.192:10022	无效	0	198
61.140.127.1:10022	无效	0	198
61.141.244.236:4200	无效	0	198
89.185.80.192:18888	无效	0	198
﻿# 2026/05/20 10:33	无效	0	198
line1.huase.ltd:8888	有效	106	85
home.8v8.fun:4333	有效	184	0
113.95.137.190:554	无效	0	184
14.19.174.252:4022	无效	0	152
113.119.25.156:58888	有效	39	99
113.83.248.129:4200	有效	8	130
gdyd.7259.cc.cd:4014	有效	1	137
183.51.190.239:6633	无效	0	138
113.110.77.235:8188	有效	96	6
14.145.179.142:8888	无效	0	95
183.10.182.20:8188	无效	0	69
113.119.25.7:58888	有效	3	60
113.83.248.199:4200	有效	11	52
113.101.245.171:9988	有效	63	0
119.131.89.211:4333	无效	0	52
113.83.248.166:4200	有效	3	26
113.119.25.161:58888	无效	0	29
