# 20260531_2057_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
171.213.237.138:8188	无效	0	65
171.213.237.140:8188	无效	0	65
171.213.237.185:82	无效	0	65
171.213.237.1:8188	无效	0	65
171.213.237.255:8188	无效	0	65
171.213.237.35:4022	无效	0	65
171.213.237.98:8188	无效	0	65
171.213.238.102:8888	无效	0	65
171.213.238.127:8088	无效	0	65
171.213.238.136:8188	无效	0	65
171.213.238.144:8188	无效	0	65
171.213.238.1:8188	无效	0	65
171.213.238.227:8188	无效	0	65
171.213.238.238:8188	无效	0	65
171.213.238.245:8888	有效	1	64
171.213.238.52:8800	无效	0	65
171.213.239.118:8800	无效	0	65
171.213.239.129:4022	无效	0	65
171.213.239.129:8888	无效	0	65
171.213.239.155:8188	无效	0	65
171.213.239.16:4022	无效	0	65
171.213.239.184:8888	无效	0	65
171.213.239.188:8686	无效	0	65
171.213.239.1:8188	无效	0	65
171.213.239.243:5555	无效	0	65
171.213.239.244:8888	无效	0	65
171.213.239.73:8800	无效	0	65
171.213.239.84:4022	无效	0	65
171.213.239.85:8188	无效	0	65
171.213.240.130:4022	无效	0	65
171.213.240.146:8188	无效	0	65
171.213.240.18:4022	无效	0	65
171.213.240.196:8880	无效	0	65
171.213.240.198:8888	无效	0	65
171.213.240.1:8188	无效	0	65
171.213.240.240:82	无效	0	65
171.213.240.99:8188	无效	0	65
171.213.241.103:8188	无效	0	65
171.213.241.145:8888	无效	0	65
171.213.241.1:8188	无效	0	65
171.213.241.218:8188	无效	0	65
171.213.241.235:8188	无效	0	65
171.213.241.236:8888	无效	0	65
171.213.242.102:8188	无效	0	65
171.213.242.112:8188	无效	0	65
171.213.242.1:8188	无效	0	65
171.213.242.220:8188	有效	3	62
171.213.242.239:8188	无效	0	65
171.213.243.118:8188	无效	0	65
171.213.243.1:8188	无效	0	65
171.213.243.201:8188	无效	0	65
171.213.243.209:8096	无效	0	65
171.213.243.240:8188	无效	0	65
171.213.243.32:8888	无效	0	65
171.213.243.69:4022	无效	0	65
171.213.243.72:8188	无效	0	65
171.213.243.91:8888	无效	0	65
171.213.245.221:8888	无效	0	65
171.213.245.88:4000	无效	0	65
171.213.47.123:8888	无效	0	65
171.217.242.136:5000	无效	0	65
171.217.242.159:5000	无效	0	65
171.217.35.99:8000	无效	0	65
171.221.117.11:4000	无效	0	65
171.222.130.118:8123	无效	0	65
171.222.134.27:8888	无效	0	65
171.222.135.115:19999	无效	0	65
171.222.135.174:9100	无效	0	65
171.222.137.5:19999	无效	0	65
171.222.138.93:1521	无效	0	65
171.222.154.153:66	无效	0	65
171.222.155.16:8899	无效	0	65
171.223.74.50:4000	无效	0	65
