2026/05/15 20:19精选更新,#genre#
上视外语,http://116.237.68.208:4022/udp/239.45.1.127:5140
乐游纪实,http://116.237.68.208:4022/rtp/239.45.3.135:5140
五星体育,http://116.237.68.208:4022/rtp/239.45.3.210:5140
五星体育,http://116.237.68.208:4022/rtp/233.18.204.58:5140
健康养生,http://116.237.68.208:4022/rtp/239.45.1.28:5140
新闻综合,http://116.237.68.208:4022/rtp/239.45.3.209:5140
欢笑剧场4K(HDR),http://116.237.68.208:4022/rtp/233.18.204.205:5140
百事通体育,http://116.237.68.208:4022/rtp/239.45.3.139:5140
百事通少儿4K,http://116.237.68.208:4022/rtp/239.45.1.1:5140
百事通电影4K,http://116.237.68.208:4022/rtp/239.45.1.42:5140
百事通电影4K,http://116.237.68.208:4022/rtp/239.45.3.107:5140
百事通科教,http://116.237.68.208:4022/rtp/239.45.1.29:5140
百事通纪实4K,http://116.237.68.208:4022/rtp/239.45.1.10:5140
都市频道,http://116.237.68.208:4022/rtp/239.45.3.236:5140

上海电信-组播2,180.165.22.10:9999(快速),#genre#
上海教育,http://180.165.22.10:9999/rtp/239.45.0.13:5140
上海教育HD,http://180.165.22.10:9999/rtp/233.18.204.63:5140
上海都市HD,http://180.165.22.10:9999/rtp/233.18.204.53:5140

CCTV1,http://180.165.22.10:9999/rtp/239.45.3.145:5140
CCTV1,http://180.165.22.10:9999/rtp/233.18.204.168:5140
CCTV1,http://180.165.22.10:9999/rtp/233.18.204.52:5140
CCTV2,http://180.165.22.10:9999/rtp/239.45.3.208:5140
CCTV2,http://180.165.22.10:9999/rtp/233.18.204.68:5140
CCTV3,http://180.165.22.10:9999/rtp/239.45.1.68:5140
CCTV3,http://180.165.22.10:9999/rtp/233.18.204.69:5140
CCTV4,http://180.165.22.10:9999/rtp/239.45.0.2:5140
CCTV4,http://180.165.22.10:9999/rtp/233.18.204.70:5140
CCTV5,http://180.165.22.10:9999/rtp/239.45.1.69:5140
CCTV5,http://180.165.22.10:9999/rtp/233.18.204.72:5140
CCTV5,http://180.165.22.10:9999/rtp/233.18.204.71:5140
CCTV5+,http://180.165.22.10:9999/rtp/233.18.204.67:5140
