央视,#genre#
CCTV5,http://shenhua.asuscomm.com:8888/rtp/239.45.1.69:5140,无效
CCTV5+,http://yyf1991.top:9999/rtp/233.18.204.67:5140,有效
CCTV5+,http://cx.shscxzx.cn:8899/rtp/233.18.204.67:5140,有效
CCTV5+,http://wsc2007123.myds.me:30100/rtp/233.18.204.67:5140,有效
CCTV5+,http://home888.uttcare.com:8889/rtp/233.18.204.67:5140,有效
CCTV5+,http://shenhua.asuscomm.com:8888/rtp/233.18.204.67:5140,有效
CCTV6,http://yyf1991.top:9999/rtp/233.18.204.25:5140,无效
CCTV6,http://cx.shscxzx.cn:8899/rtp/233.18.204.25:5140,无效
CCTV6,http://wsc2007123.myds.me:30100/rtp/233.18.204.25:5140,无效
CCTV6,http://home888.uttcare.com:8889/rtp/233.18.204.25:5140,无效
CCTV6,http://shenhua.asuscomm.com:8888/rtp/233.18.204.25:5140,无效
CCTV6,http://yyf1991.top:9999/rtp/233.18.204.72:5140,有效
CCTV6,http://cx.shscxzx.cn:8899/rtp/233.18.204.72:5140,有效
CCTV6,http://wsc2007123.myds.me:30100/rtp/233.18.204.72:5140,有效
CCTV6,http://home888.uttcare.com:8889/rtp/233.18.204.72:5140,有效
CCTV6,http://shenhua.asuscomm.com:8888/rtp/233.18.204.72:5140,有效
CCTV6,http://yyf1991.top:9999/rtp/239.45.1.70:5140,无效
CCTV6,http://cx.shscxzx.cn:8899/rtp/239.45.1.70:5140,无效
CCTV6,http://wsc2007123.myds.me:30100/rtp/239.45.1.70:5140,无效
CCTV6,http://home888.uttcare.com:8889/rtp/239.45.1.70:5140,无效
CCTV6,http://shenhua.asuscomm.com:8888/rtp/239.45.1.70:5140,无效
CCTV7,http://yyf1991.top:9999/rtp/233.18.204.26:5140,无效
CCTV7,http://cx.shscxzx.cn:8899/rtp/233.18.204.26:5140,无效
CCTV7,http://wsc2007123.myds.me:30100/rtp/233.18.204.26:5140,无效
CCTV7,http://home888.uttcare.com:8889/rtp/233.18.204.26:5140,无效
CCTV7,http://shenhua.asuscomm.com:8888/rtp/233.18.204.26:5140,无效
CCTV7,http://yyf1991.top:9999/rtp/233.18.204.73:5140,有效
CCTV7,http://cx.shscxzx.cn:8899/rtp/233.18.204.73:5140,有效
CCTV7,http://wsc2007123.myds.me:30100/rtp/233.18.204.73:5140,有效
CCTV7,http://home888.uttcare.com:8889/rtp/233.18.204.73:5140,有效
CCTV7,http://shenhua.asuscomm.com:8888/rtp/233.18.204.73:5140,有效
CCTV7,http://yyf1991.top:9999/rtp/239.45.3.56:5140,无效
CCTV7,http://cx.shscxzx.cn:8899/rtp/239.45.3.56:5140,无效
CCTV7,http://wsc2007123.myds.me:30100/rtp/239.45.3.56:5140,无效
CCTV7,http://home888.uttcare.com:8889/rtp/239.45.3.56:5140,无效
CCTV7,http://shenhua.asuscomm.com:8888/rtp/239.45.3.56:5140,无效
CCTV8,http://yyf1991.top:9999/rtp/233.18.204.27:5140,无效
CCTV8,http://cx.shscxzx.cn:8899/rtp/233.18.204.27:5140,无效
CCTV8,http://wsc2007123.myds.me:30100/rtp/233.18.204.27:5140,无效
CCTV8,http://home888.uttcare.com:8889/rtp/233.18.204.27:5140,无效
CCTV8,http://shenhua.asuscomm.com:8888/rtp/233.18.204.27:5140,无效
CCTV8,http://yyf1991.top:9999/rtp/233.18.204.74:5140,有效
CCTV8,http://cx.shscxzx.cn:8899/rtp/233.18.204.74:5140,有效
CCTV8,http://wsc2007123.myds.me:30100/rtp/233.18.204.74:5140,有效
CCTV8,http://home888.uttcare.com:8889/rtp/233.18.204.74:5140,有效
CCTV8,http://shenhua.asuscomm.com:8888/rtp/233.18.204.74:5140,有效
CCTV8,http://yyf1991.top:9999/rtp/239.45.1.71:5140,无效
CCTV8,http://cx.shscxzx.cn:8899/rtp/239.45.1.71:5140,无效
CCTV8,http://wsc2007123.myds.me:30100/rtp/239.45.1.71:5140,无效
CCTV8,http://home888.uttcare.com:8889/rtp/239.45.1.71:5140,无效
CCTV8,http://shenhua.asuscomm.com:8888/rtp/239.45.1.71:5140,无效
CCTV9,http://yyf1991.top:9999/rtp/233.18.204.40:5140,有效
CCTV9,http://cx.shscxzx.cn:8899/rtp/233.18.204.40:5140,有效
CCTV9,http://wsc2007123.myds.me:30100/rtp/233.18.204.40:5140,有效
CCTV9,http://home888.uttcare.com:8889/rtp/233.18.204.40:5140,有效
CCTV9,http://shenhua.asuscomm.com:8888/rtp/233.18.204.40:5140,有效
CCTV9,http://yyf1991.top:9999/rtp/233.18.204.75:5140,有效
CCTV9,http://cx.shscxzx.cn:8899/rtp/233.18.204.75:5140,有效
CCTV9,http://wsc2007123.myds.me:30100/rtp/233.18.204.75:5140,有效
CCTV9,http://home888.uttcare.com:8889/rtp/233.18.204.75:5140,有效
CCTV9,http://shenhua.asuscomm.com:8888/rtp/233.18.204.75:5140,有效
CCTV10,http://yyf1991.top:9999/rtp/233.18.204.29:5140,无效
CCTV10,http://cx.shscxzx.cn:8899/rtp/233.18.204.29:5140,无效
CCTV10,http://wsc2007123.myds.me:30100/rtp/233.18.204.29:5140,无效
CCTV10,http://home888.uttcare.com:8889/rtp/233.18.204.29:5140,无效
CCTV10,http://shenhua.asuscomm.com:8888/rtp/233.18.204.29:5140,无效
CCTV10,http://yyf1991.top:9999/rtp/233.18.204.76:5140,有效
CCTV10,http://cx.shscxzx.cn:8899/rtp/233.18.204.76:5140,有效
CCTV10,http://wsc2007123.myds.me:30100/rtp/233.18.204.76:5140,有效
CCTV10,http://home888.uttcare.com:8889/rtp/233.18.204.76:5140,有效
CCTV10,http://shenhua.asuscomm.com:8888/rtp/233.18.204.76:5140,有效
CCTV10,http://yyf1991.top:9999/rtp/239.45.3.8:5140,无效
CCTV10,http://cx.shscxzx.cn:8899/rtp/239.45.3.8:5140,无效
CCTV10,http://wsc2007123.myds.me:30100/rtp/239.45.3.8:5140,无效
CCTV10,http://home888.uttcare.com:8889/rtp/239.45.3.8:5140,无效
CCTV10,http://shenhua.asuscomm.com:8888/rtp/239.45.3.8:5140,无效
CCTV11,http://yyf1991.top:9999/rtp/233.18.204.30:5140,无效
CCTV11,http://cx.shscxzx.cn:8899/rtp/233.18.204.30:5140,无效
CCTV11,http://wsc2007123.myds.me:30100/rtp/233.18.204.30:5140,无效
CCTV11,http://home888.uttcare.com:8889/rtp/233.18.204.30:5140,无效
CCTV11,http://shenhua.asuscomm.com:8888/rtp/233.18.204.30:5140,无效
CCTV11,http://yyf1991.top:9999/rtp/233.18.204.77:5140,有效
CCTV11,http://cx.shscxzx.cn:8899/rtp/233.18.204.77:5140,有效
CCTV11,http://wsc2007123.myds.me:30100/rtp/233.18.204.77:5140,有效
CCTV11,http://home888.uttcare.com:8889/rtp/233.18.204.77:5140,有效
CCTV11,http://shenhua.asuscomm.com:8888/rtp/233.18.204.77:5140,有效
CCTV11,http://yyf1991.top:9999/rtp/239.45.3.50:5140,无效
CCTV11,http://cx.shscxzx.cn:8899/rtp/239.45.3.50:5140,无效
CCTV11,http://wsc2007123.myds.me:30100/rtp/239.45.3.50:5140,无效
CCTV11,http://home888.uttcare.com:8889/rtp/239.45.3.50:5140,无效
CCTV11,http://shenhua.asuscomm.com:8888/rtp/239.45.3.50:5140,无效
CCTV12,http://yyf1991.top:9999/rtp/233.18.204.31:5140,无效
CCTV12,http://cx.shscxzx.cn:8899/rtp/233.18.204.31:5140,无效
CCTV12,http://wsc2007123.myds.me:30100/rtp/233.18.204.31:5140,无效
